frame,capture_us,preprocess_us,inference_us,nms_us,thumbnail_us,grpc_us,e2e_us,num_dets
343,85312,17070,75524,0,3275,8789,420822,0
344,70030,10147,72826,0,3753,7582,389928,0
345,80749,1857,82732,1,3853,6451,391117,1
346,87948,2193,79613,0,3437,8830,389800,0
347,87231,1664,76214,0,3629,6652,373578,0
348,87645,1350,79055,0,3256,6691,363210,0
349,119558,2253,77678,0,3687,58226,403640,0
350,88817,1814,77738,0,2700,6956,307052,0
351,86710,1543,78344,0,3253,7867,295920,0
352,87904,1379,78174,0,3385,11552,289436,0
353,89357,1495,73718,0,2791,10181,271744,0
354,88317,1580,75767,0,2516,8455,254394,0
355,88292,1913,75375,0,2645,7249,238606,0
356,87709,1406,79238,0,3657,8101,229135,0
357,118286,1355,77700,0,2441,7587,215826,0
358,88602,1379,73378,1,1843,6645,172102,1
359,88208,968,74023,0,2518,6323,172342,0
360,88676,1095,71473,0,2254,6627,170468,0
361,89390,1179,68077,1,1966,6815,167697,1
362,88262,1543,68486,0,1672,6120,166289,1
363,88288,1011,68681,0,2034,7803,168070,0
364,89127,1105,95443,1,1912,6728,194582,1
365,119202,1254,79168,0,1885,5874,207614,0
366,88835,1052,71947,1,1672,7426,171169,1
367,88649,1473,75220,1,1744,30314,197622,1
368,88539,1246,72932,1,2068,6994,172002,1
369,90681,1185,77539,0,2605,5803,178091,0
370,86937,1178,74391,0,1672,7032,171463,1
371,89580,1278,73964,0,1824,6941,173819,0
372,87596,1029,70255,0,1916,8338,169365,0
373,119588,995,70629,0,1895,50124,243460,0
374,88619,1494,74903,0,2141,9822,177295,0
375,90438,1318,75069,0,1942,5954,174985,0
376,87164,1210,68676,0,2507,7208,167023,0
377,88401,1177,78067,0,2612,5813,176330,0
378,88946,1022,70806,0,2432,6083,169496,0
379,88696,1066,68398,0,2288,5911,166584,0
380,88934,1281,68782,0,1783,12517,173549,0
381,119416,1140,71286,0,1891,27181,221142,1
382,88005,1005,76885,0,1646,7678,175454,0
383,89183,1267,69263,0,2592,8093,170647,0
384,88504,1092,70495,0,1810,10916,173029,0
385,88941,1145,70584,0,2422,6936,170306,0
386,88908,1108,73624,0,2027,5519,171390,0
387,88673,1258,69129,0,1812,7837,169009,0
388,88541,1020,71224,0,1739,6556,169335,0
389,119005,1055,70262,1,1720,21159,213440,1
390,88781,952,79154,0,1759,6756,177678,0
391,89355,1303,75258,1,1968,6002,174117,1
392,88919,1001,76205,1,1651,5700,173724,1
393,89018,1111,71356,0,1754,6160,169600,0
394,88400,1125,72915,0,1855,18770,183314,0
395,88806,1255,73051,1,1782,31178,196300,1
396,88923,1136,71150,0,2029,56207,219667,0
397,88666,1153,71963,1,1851,7696,171570,2
398,88830,1100,74378,2,3909,8978,177448,1
399,60501,1736,75755,1,3660,7473,161276,1
400,88314,1087,75214,1,2381,6846,174096,1
401,88270,1609,70756,1,3883,14299,179033,1
402,59475,1477,77594,0,2162,8328,158814,0
403,88707,1467,74203,1,3336,8671,176647,1
404,58759,1495,74182,1,2566,14488,165488,1
405,88959,2062,76241,0,2340,6958,176767,0
406,87492,1437,73078,0,3343,6745,172314,0
407,59180,1603,73358,0,2063,6533,155130,0
408,88383,1378,74366,1,3907,9133,177477,1
409,58727,1351,76225,0,3057,7325,161108,0
410,89879,1309,72053,0,1759,5696,170897,0
411,87065,1267,71789,1,2745,11341,174450,2
412,60109,1493,81219,0,3225,7119,163348,1
413,88626,1605,73186,1,1809,12862,179044,1
414,87986,1185,79809,2,2941,8289,180511,2
415,60009,1745,81535,1,3821,9800,174930,2
416,88152,1614,86725,1,3645,8079,197725,2
417,59138,1923,94616,2,3609,6414,200679,1
418,88567,1728,79118,1,3129,7460,218932,1
419,89301,1696,79390,1,2857,6758,206829,1
420,56035,1679,81277,1,3434,8718,199303,1
421,89034,1577,78343,1,2678,7669,217983,1
422,59344,2231,80770,1,3179,7295,208051,1
423,86716,1478,74509,1,3366,54386,268099,1
424,89587,1446,78340,1,3340,8881,212310,1
425,58976,1614,79119,3,4026,13619,205779,1
426,87780,1580,80515,2,3445,7479,218654,1
427,59253,1967,80165,1,3593,7102,209108,1
428,88138,1520,82009,1,3576,29484,252045,1
429,88503,1596,73958,0,3065,7848,213962,0
430,58310,1536,77835,1,3878,8034,202467,1
431,88455,1364,78655,0,3078,12346,224664,0
432,59902,1808,76669,0,2985,8086,207048,0
433,86881,1491,71983,0,3287,7318,216381,0
434,89432,1932,74564,0,3213,7316,202335,0
435,57834,1863,76018,0,3383,7834,187455,0
436,58596,1485,82484,0,3781,7369,209889,0
437,59072,1812,72278,1,3641,9085,223461,1
438,57738,1430,76546,1,2912,8006,237069,1
439,58890,1396,82107,1,3174,8351,260426,1
440,58883,2064,80369,1,3067,8831,280656,1
441,59002,2675,103027,0,3739,7780,322020,0
442,55208,1345,96469,2,7262,11060,363310,3
443,60215,2175,93191,1,5461,9159,396068,1
444,56733,1678,88608,1,3975,7552,418806,1
445,88967,1427,84813,1,5114,9945,448642,1
446,59757,17992,88605,1,7352,7433,446479,1
447,40870,53304,86652,0,6647,9401,456372,0
448,8039,80657,126660,1,9890,8180,490457,1
449,4251,79764,122939,0,8427,9529,524379,0
450,5549,81884,84992,0,5011,60196,572089,0
451,3618,83251,89896,0,3829,8631,521624,0
452,4930,120669,83891,1,7899,8348,522054,1
453,5097,117969,83317,1,4046,8518,475713,1
454,4086,80895,89863,1,3981,7582,441314,1
455,3963,86876,87501,1,3151,9323,444548,1
456,5282,77420,82851,1,4197,8861,436744,1
457,3608,79672,88243,1,4798,8555,442319,1
458,3835,85051,84797,0,4405,20108,454674,0
